Year,Month,Day,Name,Location,Country,Latitude,Longitude,Elevation,Type,VEI,Agent,DEATHS,INJURIES,MISSING,DAMAGE_MILLIONS_DOLLARS,TSU,EQ
46,0,0,Santorini,Greece,Greece,36.404,25.396,329,Shield volcano,3.0,,,,,,TSU,
50,0,0,Ambrym,Vanuatu-SW Pacific,Vanuatu,-16.25,168.12,1334,Pyroclastic shield,6.0,,,,,,,
60,0,0,Bona-Churchill,Alaska-E,United States,61.38,-141.75,5005,Stratovolcano,6.0,,,,,,,
79,8,25,Vesuvius,Italy,Italy,40.821,14.425999999999998,1281,Complex volcano,5.0,"P,T",2100.0,,,,TSU,EQ
200,0,0,"Arhab, Harra of",Arabia-S,Yemen,15.63,44.08,3100,Volcanic field,,,,,,,,
230,0,0,Taupo,New Zealand,New Zealand,-38.82,176.0,760,Caldera,6.0,,,,,,,
240,0,0,Ksudach,Kamchatka,Russia,51.8,157.53,1079,Stratovolcano,6.0,,,,,,,
350,0,0,Augustine,Alaska-SW,United States,59.37,-153.42,1252,Lava dome,,,,,,,,
416,0,0,Krakatau,Indonesia,Indonesia,-6.102,105.42299999999999,813,Caldera,,W,,,,,TSU,
450,0,0,Ilopango,El Salvador,El Salvador,13.672,-89.053,450,Caldera,6.0,,30000.0,,,,,
500,0,0,"Arhab, Harra of",Arabia-S,Yemen,15.63,44.08,3100,Volcanic field,,,,,,,,
590,0,0,San Salvador,El Salvador,El Salvador,13.735999999999999,-89.286,1893,Stratovolcano,,,,,,,,
640,0,0,"Uwayrid, Harrat",Arabia-W,Saudi Arabia,27.08,37.25,1900,Volcanic field,2.0,T,,,,,,
653,0,0,Dakataua,New Britain-SW Pac,Papua New Guinea,-5.056,150.108,400,Caldera,6.0,,,,,,,
683,0,0,Rabaul,New Britain-SW Pac,Papua New Guinea,-4.271,152.203,688,Pyroclastic shield,6.0,,,,,,,
710,0,0,Pago,New Britain-SW Pac,Papua New Guinea,-5.58,150.52,742,Caldera,6.0,,,,,,,
764,0,0,Sakura-jima,Kyushu-Japan,Japan,31.58,130.67,1117,Stratovolcano,4.0,"T,L",80.0,,,,,
766,7,20,Sakura-jima,Kyushu-Japan,Japan,31.58,130.67,1117,Stratovolcano,3.0,,,,,,TSU,EQ
787,0,0,Vesuvius,Italy,Italy,40.821,14.425999999999998,1281,Complex volcano,3.0,,,,,,,
847,0,0,Bona-Churchill,Alaska-E,United States,61.38,-141.75,5005,Stratovolcano,6.0,,,,,,,
920,0,0,Katla,Iceland-S,Iceland,63.63,-19.05,1512,Subglacial volcano,4.0,,,,,,,
