Country,Средняя смертность
Antarctica,0.0
Cameroon,868.5
Canada,0.0
Cape Verde,0.0
Chile,12.0
China,0.0
Colombia,3543.8571428571427
Comoros,9.0
"Congo, DRC",40.333333333333336
Costa Rica,23.333333333333332
Ecuador,487.09090909090907
El Salvador,10109.0
Eritrea,68.5
Ethiopia,50.0
Greece,56.333333333333336
Guadeloupe,0.0
Guatemala,325.0
Iceland,21.545454545454547
Indonesia,468.5327868852459
Italy,242.3448275862069
Japan,50.12244897959184
Martinique,9841.0
Mexico,322.3333333333333
Montserrat,12.0
Netherlands,0.0
New Zealand,37.18181818181818
Nicaragua,509.25
North Korea,0.0
Pacific Ocean,3.5
Papua New Guinea,422.15384615384613
Peru,1500.0
Philippines,256.17241379310343
Portugal,44.8
Reunion,3.0
Russia,4.5
Samoa,0.0
Saudi Arabia,0.0
Solomon Is.,1001.0
Spain,1.0
St. Kitts & Nevis,0.0
St. Vincent & the Grenadines,579.3333333333334
Taiwan,0.0
Tanzania,0.0
Tonga,25.0
Trinidad ,0.0
Turkey,1900.0
United States,365.6666666666667
Vanuatu,23.0
Vietnam,0.0
Yemen,7.0
